                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     150                                      840                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.1739496849295412E+010                  1.4073944729289167E+007                  4.8480699021101336E+003                  3.7105847496826354E+000                  2.7342754802072138E+000                  8.9258779553735526E+000                  6.5040399524825357E-038                  0.0000000000000000E+000                  9.8011827974368138E-001                  5.4968484732311005E-005                  9.7382817118719864E-003                  3.8759121967847543E-003                  2.0539441734847268E-003                  9.9506809615591507E-001                 -2.6853025366500793E-012                  5.5176719758317327E-001                  1.0383951893165146E-003                  4.2228857076006038E-001                  2.2763858907494695E-003                  3.1744438993501667E-003                  8.3411847082721889E-003                  2.0438143182919732E-003                  1.5516952717224464E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9506809276408204E-001                  2.7325680708502809E+000                  9.9506809079731728E-001                  2.7318487963706657E+000                  4.5380635391589902E+004                  2.2908703957469254E+006                  2.6817015734272685E+009                  3.7059031944171688E+000                  3.7059031944171692E+000                  1.4967881895811027E-025                  2.4930613969705601E-001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.7047680230676006E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  9.9506809615591507E-001                  4.3684226791533670E-001                  3.6855781913726298E+000                 -7.1223846659069716E+000                  4.3638547883007268E+000                  6.9214527116374291E-001                  2.8784847302290295E-001                  2.0006255813354135E-002 
                                       2                  9.9506809615541758E-001                  4.3684220212783692E-001                  3.6855968292068240E+000                 -7.1222542841383074E+000                  4.3640038363229126E+000                  6.9214527116369640E-001                  2.8784847302294930E-001                  2.0006255813354246E-002 
                                       3                  9.9506809615492009E-001                  4.3684213636005254E-001                  3.6856294500651718E+000                 -7.1220262440850117E+000                  4.3642645474968820E+000                  6.9214527116353375E-001                  2.8784847302311162E-001                  2.0006255813354690E-002 
                                       4                  9.9506809615367631E-001                  4.3684197202677638E-001                  3.6856760705018488E+000                 -7.1217007637552827E+000                  4.3646367213110686E+000                  6.9214527116301139E-001                  2.8784847302363253E-001                  2.0006255813356022E-002 
                                       5                  9.9506809615243230E-001                  4.3684180781642495E-001                  3.6857460269341868E+000                 -7.1212131681703896E+000                  4.3651943855474773E+000                  6.9214527116179470E-001                  2.8784847302484617E-001                  2.0006255813359131E-002 
                                       6                  9.9506809614994474E-001                  4.3684147976368776E-001                  3.6858627129940262E+000                 -7.1204021937733772E+000                  4.3661222403995099E+000                  6.9214527115832913E-001                  2.8784847302830269E-001                  2.0006255813368234E-002 
                                       7                  9.9506809614621317E-001                  4.3684098860121323E-001                  3.6860145857440449E+000                 -7.1193510726486622E+000                  4.3673255011373717E+000                  6.9214527115104274E-001                  2.8784847303557021E-001                  2.0006255813387108E-002 
                                       8                  9.9506809614185976E-001                  4.3684041696143328E-001                  3.6863011624263815E+000                 -7.1173795214226239E+000                  4.3695841745877724E+000                  6.9214527113125868E-001                  2.8784847305530303E-001                  2.0006255813438290E-002 
                                       9                  9.9506809613097624E-001                  4.3683899432511525E-001                  3.6867413341261828E+000                 -7.1143860346120631E+000                  4.3730187814902504E+000                  6.9214527107826784E-001                  2.8784847310815631E-001                  2.0006255813575846E-002 
