loc_rowid,pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_teff,st_mass,st_rad,pl_masse,pl_rade,pl_disc,st_sp,st_spstr,st_glon,st_glat,st_elon,st_elat
933,K2-188,K2-188 b,Transit,2,1.742169,0.0289,,,,0.12,,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,12.645999999999999,5977.0,1.06,1.19,,1.35,2018,,,201.659918,33.444912,126.14759099999999,4.775156
934,K2-188,K2-188 c,Transit,2,7.810252999999999,0.0785,,,,0.252,,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,12.645999999999999,5977.0,1.06,1.19,,2.83,2018,,,201.659918,33.444912,126.14759099999999,4.775156
935,K2-189,K2-189 b,Transit,2,2.588309,0.0361,,,,0.136,,13h34m29.11s,203.62129199999998,-15d02m10.9s,-15.036359,243.93,12.399000000000001,5519.0,0.94,0.87,,1.52,2018,,,318.136661,46.56063,207.378305,-4.824051
936,K2-189,K2-189 c,Transit,2,6.679195,0.068,,,,0.223,,13h34m29.11s,203.62129199999998,-15d02m10.9s,-15.036359,243.93,12.399000000000001,5519.0,0.94,0.87,,2.5,2018,,,318.136661,46.56063,207.378305,-4.824051
937,K2-19,K2-19 b,Transit,3,7.9194,0.07400000000000001,,89.47,,0.691,,11h39m50.47s,174.96031200000004,+00d36m12.9s,0.603575,292.14,13.0,5430.0,0.93,0.86,,7.74,2015,4.9,G9 V,267.029422,58.393572,175.134912,-1.448373
938,K2-19,K2-19 c,Transit,3,11.90715,0.0971,,87.99,,0.434,,11h39m50.47s,174.96031200000004,+00d36m12.9s,0.603575,292.14,13.0,5430.0,0.93,0.86,,4.86,2015,4.9,G9 V,267.029422,58.393572,175.134912,-1.448373
939,K2-19,K2-19 d,Transit,3,2.50856,0.0344,,85.83,,0.102,,11h39m50.47s,174.96031200000004,+00d36m12.9s,0.603575,292.14,13.0,5430.0,0.93,0.86,,1.14,2016,4.9,G9 V,267.029422,58.393572,175.134912,-1.448373
940,K2-190,K2-190 b,Transit,2,10.098858,,,88.35700000000001,,0.121,,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,11.138,5631.0,0.9,0.91,,1.357,2018,,,321.2681350000001,47.922218,208.274461,-2.463443
941,K2-190,K2-190 c,Transit,2,21.574023,,,88.977,,0.098,,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,11.138,5631.0,0.9,0.91,,1.093,2018,,,321.2681350000001,47.922218,208.274461,-2.463443
942,K2-191,K2-191 b,Transit,1,2.858646,,,87.051,,0.141,,13h26m33.40s,201.639175,-12d48m23.6s,-12.806567999999999,289.57,13.258,5176.0,0.9,0.84,,1.579,2018,,,316.0892740000001,49.165932,204.76193899999998,-3.4589769999999995
943,K2-192,K2-192 b,Transit,1,4.162817,0.049,,,,0.136,,13h46m19.75s,206.582275,-11d33m22.5s,-11.556253,223.99,12.704,5222.0,0.9,0.81,,1.52,2018,,,323.718177,49.087432,208.812348,-0.539111
944,K2-193,K2-193 b,Transit,1,14.786889000000002,0.1184,,,,0.35200000000000004,,13h40m56.89s,205.237061,-11d00m33.5s,-11.009296,416.91,13.251,5817.0,1.01,0.98,,3.95,2018,,,322.045722,50.016072,207.384712,-0.500379
945,K2-194,K2-194 b,Transit,1,39.721386,,,89.065,,0.325,,13h38m26.14s,204.608932,-08d55m37.7s,-8.92715,640.65,12.908,5979.0,1.11,1.28,,3.642,2018,,,322.087001,52.188012,206.05654099999998,1.218391
