                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     500                                      994                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2191188539425959E+010                  5.6978105813176429E+005                  4.3103452642285392E+003                  6.3486171390167492E+001                  1.4307846981859209E+001                  1.6328455882087631E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8011725676966377E-001                  5.4919273174636490E-005                  9.7312280307493178E-003                  3.8857375654885559E-003                  1.9423589381148826E-003                  9.8389411686481909E-001                 -2.5487827138947783E-010                  4.8957695580971122E-001                  9.6926256982799764E-004                  4.7368821814578072E-001                  2.1804770344349645E-003                  3.9326355268918091E-003                  7.4357407795477967E-003                  1.9110755309965045E-003                  2.6127049795612062E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8389361443221024E-001                  1.4263074048373209E+001                  9.8389343753300051E-001                  1.4250595523866252E+001                  5.4628694237285061E+005                  2.5016286520828005E+004                  1.5497770543101314E+008                  6.3176533053983775E+001                  6.3176533053983448E+001                  5.3174596082670117E-015                  4.3080495810811756E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8473135641042630E+017 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  9.8389411686481909E-001                  1.1555742868522789E+000                  3.6345121291025140E+000                 -7.8280180733513136E+000                  3.6033796891416441E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       2                  9.8389411686432715E-001                  1.1555742845472510E+000                  3.6345123565859150E+000                 -7.8280164814748394E+000                  3.6033815088051808E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       3                  9.8389411686322026E-001                  1.1555742793609574E+000                  3.6345127765567864E+000                 -7.8280135426473745E+000                  3.6033848681641407E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       4                  9.8389411686137540E-001                  1.1555742707171919E+000                  3.6345133890180183E+000                 -7.8280092569072659E+000                  3.6033897671831046E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       5                  9.8389411685891581E-001                  1.1555742591922846E+000                  3.6345144389597008E+000                 -7.8280019100601566E+000                  3.6033981653736453E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       6                  9.8389411685399619E-001                  1.1555742361428569E+000                  3.6345160138979193E+000                 -7.8279908901173121E+000                  3.6034107623576412E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       7                  9.8389411684784689E-001                  1.1555742073317963E+000                  3.6345186388456971E+000                 -7.8279725244037159E+000                  3.6034317565246097E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       8                  9.8389411683554828E-001                  1.1555741497120977E+000                  3.6345234514413605E+000                 -7.8279388567378927E+000                  3.6034702432154813E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                       9                  9.8389411681402550E-001                  1.1555740488853861E+000                  3.6345330772867750E+000                 -7.8278715322282704E+000                  3.6035472064382548E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      10                  9.8389411676790539E-001                  1.1555738328614020E+000                  3.6345446738728362E+000                 -7.8277904565551673E+000                  3.6036398942174523E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      11                  9.8389411673254679E-001                  1.1555736672737100E+000                  3.6345617423536623E+000                 -7.8276711752358539E+000                  3.6037762668866122E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      12                  9.8389411664799342E-001                  1.1555732714111180E+000                  3.6345880089627687E+000                 -7.8274877558260192E+000                  3.6039859881755367E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      13                  9.8389411654806658E-001                  1.1555728037696564E+000                  3.6346208528640283E+000                 -7.8272586335473804E+000                  3.6042479985775566E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      14                  9.8389411641739311E-001                  1.1555721925587823E+000                  3.6346832814056520E+000                 -7.8268237589767837E+000                  3.6047453860734961E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      15                  9.8389411610992628E-001                  1.1555707558447275E+000                  3.6347666057190184E+000                 -7.8262448895622372E+000                  3.6054076932802683E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      16                  9.8389411583320618E-001                  1.1555694645122523E+000                  3.6348916973539680E+000                 -7.8253785703250882E+000                  3.6063992759044146E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      17                  9.8389411523364567E-001                  1.1555666721614293E+000                  3.6350983921197777E+000                 -7.8239551990389220E+000                  3.6080296300265786E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      18                  9.8389411438811158E-001                  1.1555627470248933E+000                  3.6354180823034681E+000                 -7.8217722873409956E+000                  3.6105326870466818E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      19                  9.8389411300451046E-001                  1.1555563560494242E+000                  3.6360601613898065E+000                 -7.8174517756397846E+000                  3.6154962238056680E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      20                  9.8389410992984128E-001                  1.1555422934759259E+000                  3.6376121559514418E+000                 -7.8073415929726568E+000                  3.6271608475392720E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      21                  9.8389410232590846E-001                  1.1555083100951755E+000                  3.6399736994497309E+000                 -7.7929169436455243E+000                  3.6439512179178908E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      22                  9.8389409405134032E-001                  1.1554725289989889E+000                  3.6440679994911589E+000                 -7.7698980070088304E+000                  3.6710724454342372E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      23                  9.8389407535380802E-001                  1.1553958206938861E+000                  3.6500128051887621E+000                 -7.7407045081297845E+000                  3.7062235456770174E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      24                  9.8389405651761597E-001                  1.1553235301981299E+000                  3.6547076610684108E+000                 -7.7202255250969563E+000                  3.7313936802077716E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      25                  9.8389404656776447E-001                  1.1552870893214695E+000                  3.6575018700426334E+000                 -7.7087785799564621E+000                  3.7456030493447483E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      26                  9.8389403952055554E-001                  1.1552619452968229E+000                  3.6613292284880998E+000                 -7.6937985820574966E+000                  3.7643133158800732E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      27                  9.8389402332689047E-001                  1.1552061105861822E+000                  3.6677012379979366E+000                 -7.6705078489326004E+000                  3.7936704021362866E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
                                      28                  9.8389400099535806E-001                  1.1551331009523365E+000                  3.6750949734905292E+000                 -7.6455609020153519E+000                  3.8254989929059473E+000                  6.7891802266840251E-001                  3.0100792200847704E-001                  2.0074055323120454E-002 
