                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1250                                     1529                  5.0000000000000000E+000                  2.0000000000000000E-002                  1.0675478767909890E+008                  1.5160956951086320E+000                  2.7565511010902160E+003                  1.6560659813930808E+004                  5.6502226109222340E+002                  3.5622439442102163E+001                  0.0000000000000000E+000                  3.9111882842924795E-034                  2.4434774566930696E-042                  3.8332174680458764E-001                  1.9559192729677750E-015                  5.9088960353567455E-001                  2.0582883236494828E-003                  1.3817188218010443E+000                 -1.1391476927733667E-003                  3.4616292003420335E-001                  2.6559325070928140E-005                  1.7036428636371573E-001                  3.3224784402306995E-001                  1.7238809715564617E-003                  5.0582694178942667E-001                  2.8499513476298293E-003                  8.5924850826929511E-001                  8.4984218730682259E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3392758628123365E+000                  5.2326201464101189E+002                  1.3253614715468902E+000                  5.1302610329760341E+002                  1.1439895908611062E+008                  4.7893402451615756E+000                  8.3433802597571863E+005                  1.5074982471011135E+004                  1.1770723862225515E+004                  2.4922825352110322E+003                  2.7993875314693510E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3689836010870785E+015 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.3817188218010443E+000                  2.7520655587558291E+000                  3.4403660478670104E+000                 -9.1584295513370524E+000                  2.0648047921336663E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       2                  1.3817188218000078E+000                  2.7520655587541398E+000                  3.4403660478813007E+000                 -9.1584295512398270E+000                  2.0648047922479171E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       3                  1.3817188217960139E+000                  2.7520655587476379E+000                  3.4403660479222999E+000                 -9.1584295509608857E+000                  2.0648047925757078E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       4                  1.3817188217855760E+000                  2.7520655587306440E+000                  3.4403660480346292E+000                 -9.1584295501966526E+000                  2.0648047934737765E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       5                  1.3817188217564738E+000                  2.7520655586832610E+000                  3.4403660484520158E+000                 -9.1584295473569508E+000                  2.0648047968107770E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       6                  1.3817188216386549E+000                  2.7520655584914340E+000                  3.4403660497431110E+000                 -9.1584295385729515E+000                  2.0648048071330618E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       7                  1.3817188213020044E+000                  2.7520655579433146E+000                  3.4403660536076655E+000                 -9.1584295122803621E+000                  2.0648048380301089E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       8                  1.3817188202783208E+000                  2.7520655562765990E+000                  3.4403660612275972E+000                 -9.1584294604379650E+000                  2.0648048989513383E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
                                       9                  1.3817188186197662E+000                  2.7520655535762195E+000                  3.4403660745259610E+000                 -9.1584293699621959E+000                  2.0648050052715554E+000                  6.6258981360987335E-001                  3.1728257545833044E-001                  2.0127610931796269E-002 
