                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     850                                     1464                  5.0000000000000000E+000                  2.0000000000000000E-002                  1.0675285457789125E+008                  5.2292298498088687E+000                  2.9532898946954219E+003                  1.6556654027036428E+004                  4.9219020268031699E+002                  3.4917774078866849E+001                  0.0000000000000000E+000                  3.7585657216752396E-034                  3.8912624761204213E-048                  3.8332174680463521E-001                  1.9557647842353583E-015                  5.9088960353554643E-001                  2.0582883237286013E-003                  2.2339227415295149E+000                 -2.2435813818805756E-004                  9.1105424169445748E-001                  6.9909479019798190E-005                  4.4106320375283048E-001                  3.3367556935764714E-001                  4.4868815816944338E-003                  5.1292219168184028E-001                  4.6003287489233564E-003                  8.5889707873466326E-001                  8.4915384078661993E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2130690961415711E+000                  4.7604503194623004E+002                  2.2062689598889729E+000                  4.7149901259916732E+002                  7.3147408394195080E+007                  1.4375080959465379E+001                  1.3492597827324278E+006                  1.5123237878074253E+004                  1.1600114754041742E+004                  2.6673521593611513E+003                  2.8362713873695293E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3689225959892330E+015 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  2.2339227415295149E+000                  2.6921329645796566E+000                  3.4703060793742861E+000                 -8.8252492674236738E+000                  2.4305081843414653E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       2                  2.2339227415278393E+000                  2.6921329645777403E+000                  3.4703060794022278E+000                 -8.8252492672312002E+000                  2.4305081845649212E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       3                  2.2339227415213818E+000                  2.6921329645703560E+000                  3.4703060794823921E+000                 -8.8252492666790001E+000                  2.4305081852060080E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       4                  2.2339227415045064E+000                  2.6921329645510554E+000                  3.4703060797020262E+000                 -8.8252492651660877E+000                  2.4305081869624527E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       5                  2.2339227414574547E+000                  2.6921329644972429E+000                  3.4703060805181285E+000                 -8.8252492595444938E+000                  2.4305081934889476E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       6                  2.2339227412669684E+000                  2.6921329642793821E+000                  3.4703060830425647E+000                 -8.8252492421553104E+000                  2.4305082136772498E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       7                  2.2339227407226816E+000                  2.6921329636568800E+000                  3.4703060877556773E+000                 -8.8252492096897743E+000                  2.4305082513687291E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       8                  2.2339227398951507E+000                  2.6921329627104322E+000                  3.4703060934419252E+000                 -8.8252491705209586E+000                  2.4305082968425107E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                       9                  2.2339227390676197E+000                  2.6921329617639809E+000                  3.4703061008914262E+000                 -8.8252491192062408E+000                  2.4305083564173033E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      10                  2.2339227377268682E+000                  2.6921329602305613E+000                  3.4703061101041817E+000                 -8.8252490557456298E+000                  2.4305084300931035E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      11                  2.2339227363861172E+000                  2.6921329586971421E+000                  3.4703061231051109E+000                 -8.8252489661907916E+000                  2.4305085340634922E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      12                  2.2339227339427641E+000                  2.6921329559026770E+000                  3.4703061398942099E+000                 -8.8252488505417457E+000                  2.4305086683284465E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      13                  2.2339227314994110E+000                  2.6921329531082114E+000                  3.4703061630248055E+000                 -8.8252486912103283E+000                  2.4305088533072796E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      14                  2.2339227272102740E+000                  2.6921329482027212E+000                  3.4703061924968903E+000                 -8.8252484881965962E+000                  2.4305090889999268E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      15                  2.2339227229211369E+000                  2.6921329432972336E+000                  3.4703062338174320E+000                 -8.8252482035667317E+000                  2.4305094194463797E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      16                  2.2339227151833314E+000                  2.6921329344475060E+000                  3.4703062869864061E+000                 -8.8252478373208998E+000                  2.4305098446464406E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      17                  2.2339227074455255E+000                  2.6921329255977882E+000                  3.4703063669571041E+000                 -8.8252472864560243E+000                  2.4305104841835208E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      18                  2.2339226919066686E+000                  2.6921329078260370E+000                  3.4703064737294205E+000                 -8.8252465509728086E+000                  2.4305113380567773E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
                                      19                  2.2339226763678108E+000                  2.6921328900543116E+000                  3.4703066392545403E+000                 -8.8252454107819140E+000                  2.4305126617832586E+000                  6.6258981360987323E-001                  3.1728257545833055E-001                  2.0127610931796269E-002 
